source_id,title,year,venue,source_url,source_type,dataset,split,evaluation_protocol,metric_role,metric_name,metric_direction,reported_value_numeric,comparability_level,mainstream_eligible,reference_role,training_epochs,pretrained_initialization,code_or_checkpoint_status,notes
LI23_WHUBASE,Aligning Semantic Distribution in Fusing Optical and SAR Images for Land Use Classification,2023,ISPRS Journal of Photogrammetry and Remote Sensing,https://www.sciencedirect.com/science/article/pii/S0924271623000977,same_task_paper,WHU-OPT-SAR,split not exposed,full optical+SAR dense segmentation,primary,mIoU,maximize,47.3,high,true,conventional_baseline,not_reported,not_reported,author-table plus official DOI,"Baseline ablation; exact split/recipe pending."
FUSEFORM25_WHUBASE,FuseForm Multimodal Transformer for Semantic Segmentation,2025,WACV GeoCV,https://openaccess.thecvf.com/content/WACV2025W/GeoCV/papers/McMillen_FuseForm_Multimodal_Transformer_for_Semantic_Segmentation_WACVW_2025_paper.pdf,same_task_paper,WHU-OPT-SAR,split not stated,RGB-N-SAR full-modality dense segmentation,primary,mIoU,maximize,41.2,high,true,conventional_baseline,200,ImageNet-pretrained MiT encoder; random decoder,official PDF,"DeepLabV3+ row Table 1 p6."
CLAIRE25_WHUBASE,CLAIRE Dual Encoder Network for Cross-Modality SAR and Optical Land Cover Segmentation,2025,arXiv,https://arxiv.org/abs/2509.11952,same_task_paper,WHU-OPT-SAR,80:10:10 tiled patches,RGB+SAR full-modality dense segmentation,primary,mIoU,maximize,55.84,high,true,conventional_baseline,not_reported,not_reported,arXiv PDF,"UPerNet comparison row Table 6 p13; 7 classes."
MFFNET24_WHUBASE,MFFnet Multimodal Feature Fusion Network for SAR and Optical Image Land Cover Classification,2024,Remote Sensing,https://www.mdpi.com/2072-4292/16/13/2459,same_task_paper,WHU-OPT-SAR,60:20:20 patch split,full optical+SAR dense segmentation,primary,mIoU,maximize,45.07,medium,true,conventional_baseline,50,not_reported,official article,"MCANet row Table 2; 8 labels including background."
MSFSA24_WHUBASE,Multi-Scale Feature Fusion Network with Symmetric Attention,2024,Remote Sensing,https://www.mdpi.com/2072-4292/16/6/957,same_task_paper,WHU-OPT-SAR,split not exposed,full optical+SAR dense segmentation,primary,mIoU,maximize,48.37,medium,true,conventional_baseline,not_reported,not_reported,official article,"MCANet row Table 2; decimal table converted to percent."
LSAR24_WHUBASE,Learning SAR-Optical Cross Modal Features for Land Cover Classification,2024,Remote Sensing,https://www.mdpi.com/2072-4292/16/2/431,same_task_paper,WHU-OPT-SAR,split not exposed,RGB+SAR dense segmentation,primary,mIoU,maximize,39.97,medium,true,conventional_baseline,not_reported,not_reported,official article,"Deeplab-v3-O+S row Table 1."
OSNET25_WHUBASE,OSNet Edge Enhancement Network for Joint SAR and Optical Images,2025,Remote Sensing,https://www.mdpi.com/2072-4292/17/3/505,same_task_paper,WHU-OPT-SAR,split not exposed,full optical+SAR dense segmentation,primary,mIoU,maximize,51.83,medium,true,conventional_baseline,not_reported,not_reported,official article,"ResNet-50 baseline ablation row; not proposed OSNet 55.7."
LI23_WHUBASE,Aligning Semantic Distribution in Fusing Optical and SAR Images for Land Use Classification,2023,ISPRS Journal of Photogrammetry and Remote Sensing,https://www.sciencedirect.com/science/article/pii/S0924271623000977,same_task_paper,WHU-OPT-SAR,split not exposed,full optical+SAR dense segmentation,secondary,OA,maximize,78.9,high,true,conventional_baseline,not_reported,not_reported,author-table plus official DOI,"Same baseline ablation."
CLAIRE25_WHUBASE,CLAIRE Dual Encoder Network for Cross-Modality SAR and Optical Land Cover Segmentation,2025,arXiv,https://arxiv.org/abs/2509.11952,same_task_paper,WHU-OPT-SAR,80:10:10 tiled patches,RGB+SAR full-modality dense segmentation,secondary,OA,maximize,84.36,high,true,conventional_baseline,not_reported,not_reported,arXiv PDF,"UPerNet comparison row Table 6 p13."
MFFNET24_WHUBASE,MFFnet Multimodal Feature Fusion Network for SAR and Optical Image Land Cover Classification,2024,Remote Sensing,https://www.mdpi.com/2072-4292/16/13/2459,same_task_paper,WHU-OPT-SAR,60:20:20 patch split,full optical+SAR dense segmentation,secondary,OA,maximize,76.64,medium,true,conventional_baseline,50,not_reported,official article,"MCANet row Table 2."
MSFSA24_WHUBASE,Multi-Scale Feature Fusion Network with Symmetric Attention,2024,Remote Sensing,https://www.mdpi.com/2072-4292/16/6/957,same_task_paper,WHU-OPT-SAR,split not exposed,full optical+SAR dense segmentation,secondary,OA,maximize,73.67,medium,true,conventional_baseline,not_reported,not_reported,official article,"MCANet row Table 2 decimal converted to percent."
LSAR24_WHUBASE,Learning SAR-Optical Cross Modal Features for Land Cover Classification,2024,Remote Sensing,https://www.mdpi.com/2072-4292/16/2/431,same_task_paper,WHU-OPT-SAR,split not exposed,RGB+SAR dense segmentation,secondary,accuracy,maximize,76.68,medium,true,conventional_baseline,not_reported,not_reported,official article,"Deeplab-v3-O+S row Table 1; retained as Accuracy, not pooled with OA."
